preview,author,title
[아시아경제 이승진 기자] 도널드 트럼프 미국 대통령이 관리예산실(OMB)에 연방 산하 기구의 인종 차별 금지 훈련 프로그램 폐 …,아시아경제,"트럼프, 연방 기관 '인종차별 금지 교육' 폐지 지시"
"<출연 : 문일주 제주대 태풍연구센터 교수> 태풍 상황, 전문가 연결해서 살펴보겠습니다. 문일주 제주대 태풍연구센터 교수가 전화 …",연합뉴스TV,동쪽으로 방향 튼 '하이선'…한반도 영향은?
미국에서 한 여성이 세정제를 바른 손으로 촛불을 켜다가 폭발 사고가 발생해 온몸에 심한 화상을 입었다. 4일(현지시간) CBS  …,중앙일보,"美 세 아이의 엄마, 손소독제 바르고 촛불켜다가 '5초만에 펑'"
[제주=아시아경제 호남취재본부 박창원 기자] 기상청은 5일 제10호 태풍 ‘하이선’이 방향을 틀어 일본 오키나와를 거쳐 한반도  …,아시아경제,[포토] 제10호 태풍 맞는 제주 ‘산방산’
"Nancy Davis, Anne Heche Nancy Davis, left, founder of the Race to Erase …",AP연합뉴스,Drive-In To Erase MS
방역당국이 국내 시종 코로나 바이러스 감염증(코로나19) 확진자가 사흘 연속 100명대를 기록한 것에 대해 긍정적으로 평가했다. …,데일리안,"방역당국, “코로나 확산세 감소 긍정적…위험 더 줄여야”"
"문재인 정부가 임기 내 조기 전환을 목표로 했던 전시작전통제권 전환, 지금 어디까지 와 있는 걸까요? 전작권 전환 과정 대부분은 …",KBS,[전작권 중간점검]③ 한국군 사령관이 이끌 한미연합군…70여 개 과제·3단계로 검증
(전북=뉴스1) 김동규 기자 = 김윤덕 더불어민주당 국회의원(전북 전주갑)은 한국철도공사(코레일) 전북본부가 그대로 유지된다고  …,뉴스1,"한국철도공사 지역본부 개편, 전북본부는 그대로 유지"
소방당국 “손 세정제 다룰 때 조심 해야” 한 여성이 손 세정제를 사용하다 폭발 사고로 온몸에 중화상을 입었다. 5일 온라인상에 …,서울신문,“손 세정제 폭발로 온몸에 불길”…美여성 전신 중화상
부동산 개발업체 밀리언키가 6일까지 열리는 국내 첫 3D 버추얼 전시회인 '집코노미 언택트 박람회'에 전남 여수 '웅천 트리마제 …,한국경제,"밀리언키, 온라인 박람회에 '웅천 트리마제 벨마레' 소개"
▲ 광주 전남대병원 선별진료소 광주시가 동선을 허위 진술하거나 검사를 거부한 코로나19 확진자를 고발하고 구상권과 손해배상까지  …,SBS,서울 집회 참석 속이고 검사 거부한 광주 확진자에 구상권 청구
(부산=연합뉴스) 김선호 기자 = 제10호 태풍 하이선이 북상하는 가운데 부산과 남해안에 6일까지 비가 내리겠다. 5일 부산지방 …,연합뉴스,부산 포함 남해안에 태풍 영향 비구름대…내일까지 비
[이 기사는 조선비즈와 아티웰스가 공동으로 개발해 서비스하는 로봇 기사입니다.] 국토교통부 실거래가 공개시스템에 따르면 지난 2 …,조선비즈,인천 연수동 연수우성1차 101㎡ 4억2900만원에 거래
[머니투데이 유효송 기자] 현대백화점 천호점 의류매장 직원 1명이 코로나19(COVID-19) 확진 판정을 받아 5일 임시 휴점 …,머니투데이,현대백화점 천호점 직원 코로나 확진…5일 임시 휴점
"■김재석씨 별세, 김상열(신림씨앤디㈜ 대표이사)·유미씨(고양시 무원중학교 교사) 부친상, 원윤재씨(대한상공회의소 홍보실 차장)  …",머니S,Drive-In To Erase MS
Andy Grammer Singer Andy Grammer performs at the Drive-In to Erase MS g …,AP연합뉴스,임신 사실 알고 1시간 만에 출산한 여성 “코로나 때문에 살쪄서 그런 줄 알았는데…”
한 여성이 임신 사실을 알고 나서 1시간이 지나 출산을 하는 특이한 일이 일어났다. 해당 여성은 “신종 코로나 바이러스 감염증( …,세계일보,"한국토지신탁,버추얼 박람회에서 차입형신탁,도시정비사업 등 소개"
국내 선두 신탁회사인 한국토지신탁이 6일까지 열리는 국내 최초 3D 버추얼 전시회인 '집코노미 언택트 박람회'에 참가해 자사 주 …,한국경제,"전지현-주지훈 출연 드라마 `지리산`, 9월 제작 착수"
"전지현과 주지훈이 출연하는 미스터리 드라마 '지리산'이 내년 방송을 목표로 9월 중순 제작을 시작한다. '지리산' 제작진은 ""9 …",디지털타임스,천수만 죽도 인근서 낚시어선 암초에 걸려…20명 구조
